Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029970033,0.94758534,0.046511627906976744,0.046511627906976744,21.953488372093023
2000,1.4189383,0.00029910033,1.0033212,0.0,0.0,23.317073170731707
3000,1.4189383,0.00029850032,0.650189,0.045454545454545456,0.045454545454545456,21.90909090909091
4000,1.4189383,0.00029790032,0.79865503,0.14893617021276595,0.14893617021276595,20.19148936170213
5000,1.4189383,0.0002973003,0.77545244,0.022727272727272728,0.022727272727272728,21.704545454545453
6000,1.4189383,0.0002967003,0.89153624,0.023809523809523808,0.023809523809523808,22.61904761904762
7000,1.4189383,0.0002961003,0.7193009,0.06382978723404255,0.06382978723404255,20.127659574468087
8000,1.4189383,0.00029550033,0.9616628,0.046511627906976744,0.046511627906976744,22.53488372093023
9000,1.4189383,0.0002949003,1.1400105,0.021739130434782608,0.021739130434782608,20.91304347826087
10000,1.4189383,0.00029430032,0.71711254,0.06976744186046512,0.06976744186046512,22.348837209302324
11000,1.4186054,0.00029370034,0.81591254,0.023809523809523808,0.023809523809523808,22.30952380952381
12000,1.4177057,0.0002931003,0.7764577,0.0,0.0,20.104166666666668
13000,1.4177057,0.0002925003,0.7994428,0.022727272727272728,0.022727272727272728,21.681818181818183
14000,1.4177057,0.00029190033,0.809213,0.023255813953488372,0.023255813953488372,22.209302325581394
15000,1.4177057,0.00029130033,0.7024002,0.11627906976744186,0.11627906976744186,22.13953488372093
16000,1.4177057,0.00029070032,0.8515656,0.046511627906976744,0.046511627906976744,22.58139534883721
17000,1.4177057,0.00029010035,0.80815905,0.075,0.075,23.85
18000,1.4177057,0.0002895003,0.7315525,0.045454545454545456,0.045454545454545456,21.818181818181817
19000,1.4177057,0.0002889003,0.6787076,0.09523809523809523,0.09523809523809523,22.714285714285715
20000,1.4177057,0.00028830033,0.8209644,0.11363636363636363,0.11363636363636363,21.75
21000,1.4177057,0.0002877003,0.9015244,0.07317073170731707,0.07317073170731707,23.4390243902439
22000,1.4171255,0.00028710035,0.6727222,0.05263157894736842,0.05263157894736842,24.86842105263158
23000,1.4165858,0.00028650035,0.53426754,0.075,0.075,24.125
24000,1.4165858,0.0002859003,0.60088027,0.05263157894736842,0.05263157894736842,25.526315789473685
25000,1.4165858,0.0002853003,0.3845804,0.07692307692307693,0.07692307692307693,23.794871794871796
26000,1.4165858,0.00028470033,0.48182118,0.09302325581395349,0.09302325581395349,22.674418604651162
27000,1.4165858,0.0002841003,0.5628722,0.10810810810810811,0.10810810810810811,25.81081081081081
28000,1.4165858,0.00028350033,0.46578988,0.05263157894736842,0.05263157894736842,25.55263157894737
29000,1.4165858,0.00028290032,0.53024834,0.19148936170212766,0.19148936170212766,20.51063829787234
30000,1.4165858,0.00028230032,0.45951152,0.02702702702702703,0.02702702702702703,25.513513513513512
31000,1.4165858,0.0002817003,0.5189752,0.02857142857142857,0.02857142857142857,27.742857142857144
